epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,30.243,0.60689,0.40145,0.89727,0.75982,0.98908,0.80341,0.44917,0.98474,0.72419,1.18184,0.0593916,0.000391579,0.000391579
43,30.9516,0.60334,0.42564,0.90734,0.77108,0.95729,0.79257,0.44079,1.13058,0.71716,1.26182,0.0584002,0.000400214,0.000400214
44,31.6702,0.6023,0.37857,0.91821,0.77108,0.95729,0.79257,0.44079,1.13058,0.71716,1.26182,0.0574088,0.000408783,0.000408783
45,32.3575,0.60548,0.39691,0.93412,0.66611,1,0.74318,0.49891,1.00801,0.71301,1.18834,0.0564173,0.000417286,0.000417286
46,33.0761,0.5617,0.40159,0.89975,0.66611,1,0.74318,0.49891,1.00801,0.71301,1.18834,0.0554257,0.000425722,0.000425722
47,33.9041,0.59176,0.41636,0.91333,0.73185,0.98051,0.77632,0.55543,0.89137,0.69432,1.11784,0.0544341,0.000434089,0.000434089
48,34.6071,0.57429,0.40529,0.97435,0.73185,0.98051,0.77632,0.55543,0.89137,0.69432,1.11784,0.0534424,0.000442385,0.000442385
49,35.3569,0.55826,0.41711,0.94556,0.69237,0.99916,0.77061,0.59644,0.82654,0.63666,1.06862,0.0524506,0.00045061,0.00045061
50,36.0755,0.56791,0.38099,0.90909,0.69237,0.99916,0.77061,0.59644,0.82654,0.63666,1.06862,0.0514588,0.000458763,0.000458763
51,36.8722,0.53836,0.38618,0.95262,0.71686,0.99081,0.78052,0.60562,0.95272,0.66666,1.12878,0.0504668,0.000466841,0.000466841
52,37.5751,0.58412,0.39157,0.90651,0.71686,0.99081,0.78052,0.60562,0.95272,0.66666,1.12878,0.0494748,0.000474844,0.000474844
53,38.2781,0.58121,0.43221,0.90671,0.71686,0.99081,0.78052,0.60562,0.95272,0.66666,1.12878,0.0484828,0.000482771,0.000482771
54,39.0123,0.5488,0.39244,0.93482,0.77171,0.99786,0.84045,0.66066,1.01851,0.60653,1.15001,0.0474906,0.000490619,0.000490619
55,39.7152,0.57736,0.36997,0.90437,0.77171,0.99786,0.84045,0.66066,1.01851,0.60653,1.15001,0.0464984,0.000498389,0.000498389
56,40.4182,0.62177,0.42535,0.9827,0.77171,0.99786,0.84045,0.66066,1.01851,0.60653,1.15001,0.0455061,0.000506078,0.000506078
57,41.1524,0.56055,0.37212,0.91776,0.86542,0.98617,0.97555,0.79932,0.81963,0.54113,1.03759,0.0445137,0.000513686,0.000513686
58,41.9803,0.58762,0.38136,0.90759,0.86542,0.98617,0.97555,0.79932,0.81963,0.54113,1.03759,0.0435212,0.000521211,0.000521211
59,42.6833,0.64838,0.4046,0.91367,0.86542,0.98617,0.97555,0.79932,0.81963,0.54113,1.03759,0.0425287,0.000528652,0.000528652
60,43.4175,0.57523,0.36794,0.91788,0.96794,0.99068,0.99487,0.83059,0.76541,0.56017,1.01074,0.041536,0.000536008,0.000536008
61,44.1204,0.53186,0.39612,0.88433,0.96794,0.99068,0.99487,0.83059,0.76541,0.56017,1.01074,0.0405433,0.000543278,0.000543278
62,44.839,0.58123,0.39284,0.87568,0.96794,0.99068,0.99487,0.83059,0.76541,0.56017,1.01074,0.0395505,0.000550461,0.000550461
63,45.5889,0.61431,0.4496,0.87636,0.92755,0.96298,0.97577,0.84373,0.902,0.54346,1.08797,0.0385576,0.000557555,0.000557555
64,46.2918,0.59812,0.38757,0.95833,0.92755,0.96298,0.97577,0.84373,0.902,0.54346,1.08797,0.0375646,0.00056456,0.00056456
65,47.026,0.55313,0.37832,0.8989,0.92755,0.96298,0.97577,0.84373,0.902,0.54346,1.08797,0.0365715,0.000571474,0.000571474
66,47.7602,0.56977,0.38261,0.93762,0.92494,1,0.98043,0.84638,0.79751,0.50164,1.02725,0.0355783,0.000578297,0.000578297
67,48.4632,0.5466,0.3884,0.9427,0.92494,1,0.98043,0.84638,0.79751,0.50164,1.02725,0.034585,0.000585027,0.000585027
68,49.1661,0.55467,0.35463,0.86166,0.92494,1,0.98043,0.84638,0.79751,0.50164,1.02725,0.0335917,0.000591663,0.000591663
69,49.9785,0.54918,0.38091,0.90186,0.92326,0.99913,0.99295,0.85807,0.58043,0.44686,0.92686,0.0325982,0.000598205,0.000598205
70,50.697,0.53863,0.39855,0.95519,0.92326,0.99913,0.99295,0.85807,0.58043,0.44686,0.92686,0.0316047,0.00060465,0.00060465
71,51.4,0.55046,0.35151,0.90628,0.92326,0.99913,0.99295,0.85807,0.58043,0.44686,0.92686,0.030611,0.000611,0.000611
72,52.1342,0.52529,0.34984,0.91311,0.85924,0.97864,0.995,0.85646,0.54802,0.47082,0.9192,0.0296173,0.000617251,0.000617251
73,52.8528,0.54157,0.37125,0.92676,0.85924,0.97864,0.995,0.85646,0.54802,0.47082,0.9192,0.0286234,0.000623404,0.000623404
74,53.5245,0.55208,0.38198,0.94708,0.85924,0.97864,0.995,0.85646,0.54802,0.47082,0.9192,0.0276295,0.000629458,0.000629458
75,54.1962,0.51503,0.34521,0.92158,0.8511,0.99494,0.995,0.85739,0.61191,0.53254,0.93722,0.0266354,0.000635411,0.000635411
76,54.8679,0.54143,0.37645,0.90797,0.8511,0.99494,0.995,0.85739,0.61191,0.53254,0.93722,0.0256413,0.000641263,0.000641263
77,55.5709,0.55045,0.37863,0.88897,0.8511,0.99494,0.995,0.85739,0.61191,0.53254,0.93722,0.024647,0.000647013,0.000647013
78,56.2582,0.50272,0.3561,0.88705,0.87834,0.99745,0.995,0.86717,0.68647,0.48619,0.97305,0.0236527,0.00065266,0.00065266
79,56.9768,0.51797,0.3508,0.89205,0.87834,0.99745,0.995,0.86717,0.68647,0.48619,0.97305,0.0226582,0.000658204,0.000658204
80,57.7735,0.5501,0.35857,0.90307,0.87834,0.99745,0.995,0.86717,0.68647,0.48619,0.97305,0.0216636,0.000663642,0.000663642
81,58.5077,0.53537,0.37493,0.8695,0.92136,0.99308,0.995,0.87908,0.68391,0.40606,0.96319,0.020669,0.000668976,0.000668976
82,59.2106,0.51766,0.34303,0.8819,0.92136,0.99308,0.995,0.87908,0.68391,0.40606,0.96319,0.0196742,0.000674203,0.000674203
83,59.9448,0.52421,0.35469,0.90905,0.92136,0.99308,0.995,0.87908,0.68391,0.40606,0.96319,0.0186793,0.000679323,0.000679323
84,60.6634,0.57601,0.40572,0.96336,0.92592,0.94393,0.98738,0.87099,0.61148,0.38699,0.92744,0.0176843,0.000684336,0.000684336
85,61.3351,0.56216,0.34857,0.88983,0.92592,0.94393,0.98738,0.87099,0.61148,0.38699,0.92744,0.0166892,0.000689241,0.000689241
86,61.9912,0.53354,0.36112,0.90398,0.92592,0.94393,0.98738,0.87099,0.61148,0.38699,0.92744,0.015694,0.000694037,0.000694037
87,62.6629,0.5443,0.34713,0.87656,0.92592,0.94393,0.98738,0.87099,0.61148,0.38699,0.92744,0.0146987,0.000698723,0.000698723
88,63.3503,0.53096,0.37265,0.8894,0.90643,0.93956,0.98167,0.83792,0.61979,0.39827,0.93061,0.0137033,0.000703298,0.000703298
89,64.0064,0.54461,0.36336,0.9374,0.90643,0.93956,0.98167,0.83792,0.61979,0.39827,0.93061,0.0127078,0.000707763,0.000707763
90,64.7249,0.52939,0.34218,0.88479,0.90643,0.93956,0.98167,0.83792,0.61979,0.39827,0.93061,0.0117121,0.000712117,0.000712117
91,65.506,0.53015,0.34698,0.89617,0.90643,0.93956,0.98167,0.83792,0.61979,0.39827,0.93061,0.0107164,0.000716358,0.000716358
92,66.2558,0.53534,0.34081,0.86298,0.91055,0.99955,0.995,0.86701,0.61415,0.41985,0.93032,0.00972049,0.000720487,0.000720487
93,66.9275,0.541,0.34743,0.87096,0.91055,0.99955,0.995,0.86701,0.61415,0.41985,0.93032,0.0087245,0.000724503,0.000724503
94,67.6462,0.52027,0.32744,0.89399,0.91055,0.99955,0.995,0.86701,0.61415,0.41985,0.93032,0.00772841,0.000728405,0.000728405
95,68.3179,0.56825,0.39151,0.99908,0.91055,0.99955,0.995,0.86701,0.61415,0.41985,0.93032,0.00673219,0.000732193,0.000732193
96,69.0052,0.51148,0.3498,0.91016,0.91323,0.99962,0.995,0.86732,0.56483,0.45457,0.9145,0.00573587,0.000735867,0.000735867
97,69.6769,0.54553,0.3647,0.92271,0.91323,0.99962,0.995,0.86732,0.56483,0.45457,0.9145,0.00473942,0.000739425,0.000739425
98,70.333,0.50765,0.34172,0.88739,0.91323,0.99962,0.995,0.86732,0.56483,0.45457,0.9145,0.00374287,0.000742868,0.000742868
99,70.9891,0.51646,0.35454,0.89188,0.91323,0.99962,0.995,0.86732,0.56483,0.45457,0.9145,0.00274619,0.000746195,0.000746195
100,71.6921,0.5137,0.36718,0.88056,0.94179,1,0.995,0.88049,0.52855,0.40534,0.89831,0.00174941,0.000749406,0.000749406
101,72.4262,0.54659,0.37168,0.90934,0.94179,1,0.995,0.88049,0.52855,0.40534,0.89831,0.0007525,0.0007525,0.0007525
102,73.2297,0.54613,0.34911,0.86184,0.94179,1,0.995,0.88049,0.52855,0.40534,0.89831,0.000747997,0.000747997,0.000747997
103,73.9327,0.51497,0.3621,0.8601,0.94179,1,0.995,0.88049,0.52855,0.40534,0.89831,0.000743468,0.000743468,0.000743468
104,74.6825,0.52654,0.34777,0.88226,0.92806,0.99963,0.995,0.86811,0.53553,0.34848,0.89899,0.000738913,0.000738913,0.000738913
105,75.3542,0.46429,0.33562,0.86711,0.92806,0.99963,0.995,0.86811,0.53553,0.34848,0.89899,0.000734332,0.000734332,0.000734332
106,76.0103,0.49659,0.3265,0.87174,0.92806,0.99963,0.995,0.86811,0.53553,0.34848,0.89899,0.000729725,0.000729725,0.000729725
107,76.682,0.47887,0.32649,0.87973,0.92806,0.99963,0.995,0.86811,0.53553,0.34848,0.89899,0.000725094,0.000725094,0.000725094
108,77.3694,0.48214,0.32206,0.86963,0.95126,1,0.995,0.86675,0.59043,0.36537,0.91819,0.000720439,0.000720439,0.000720439
109,78.0567,0.44981,0.31242,0.85648,0.95126,1,0.995,0.86675,0.59043,0.36537,0.91819,0.000715761,0.000715761,0.000715761
110,78.7284,0.46802,0.31011,0.85942,0.95126,1,0.995,0.86675,0.59043,0.36537,0.91819,0.000711059,0.000711059,0.000711059
111,79.4158,0.51983,0.3725,0.89511,0.95126,1,0.995,0.86675,0.59043,0.36537,0.91819,0.000706335,0.000706335,0.000706335
112,80.0875,0.46063,0.32219,0.87437,0.95265,1,0.995,0.87332,0.56657,0.32883,0.90816,0.000701588,0.000701588,0.000701588
113,80.8998,0.49461,0.32125,0.88795,0.95265,1,0.995,0.87332,0.56657,0.32883,0.90816,0.00069682,0.00069682,0.00069682
114,81.5871,0.48842,0.33415,0.91501,0.95265,1,0.995,0.87332,0.56657,0.32883,0.90816,0.000692031,0.000692031,0.000692031
115,82.2432,0.47177,0.34385,0.90928,0.95265,1,0.995,0.87332,0.56657,0.32883,0.90816,0.000687222,0.000687222,0.000687222
116,82.9462,0.48851,0.35061,0.92056,0.95935,0.99853,0.995,0.90012,0.50311,0.37692,0.88271,0.000682392,0.000682392,0.000682392
117,83.6648,0.54286,0.34721,0.88082,0.95935,0.99853,0.995,0.90012,0.50311,0.37692,0.88271,0.000677543,0.000677543,0.000677543
118,84.3677,0.56855,0.37631,0.90773,0.95935,0.99853,0.995,0.90012,0.50311,0.37692,0.88271,0.000672675,0.000672675,0.000672675
119,85.0707,0.56505,0.34774,0.87849,0.95935,0.99853,0.995,0.90012,0.50311,0.37692,0.88271,0.000667789,0.000667789,0.000667789
120,85.8205,0.54125,0.36717,0.92456,0.95671,0.99892,0.995,0.92039,0.51632,0.46044,0.88732,0.000662885,0.000662885,0.000662885
121,86.5235,0.48423,0.36804,0.90576,0.95671,0.99892,0.995,0.92039,0.51632,0.46044,0.88732,0.000657963,0.000657963,0.000657963
122,87.242,0.49109,0.36092,0.8808,0.95671,0.99892,0.995,0.92039,0.51632,0.46044,0.88732,0.000653025,0.000653025,0.000653025
123,87.945,0.54028,0.37149,0.86218,0.95671,0.99892,0.995,0.92039,0.51632,0.46044,0.88732,0.000648071,0.000648071,0.000648071
124,88.7885,0.47221,0.36068,0.91194,0.96681,0.99883,0.995,0.92061,0.57313,0.42257,0.90875,0.000643101,0.000643101,0.000643101
125,89.4603,0.49487,0.34512,0.8936,0.96681,0.99883,0.995,0.92061,0.57313,0.42257,0.90875,0.000638115,0.000638115,0.000638115
126,90.1632,0.49932,0.34861,0.86361,0.96681,0.99883,0.995,0.92061,0.57313,0.42257,0.90875,0.000633115,0.000633115,0.000633115
127,90.8818,0.46516,0.33083,0.88226,0.96681,0.99883,0.995,0.92061,0.57313,0.42257,0.90875,0.000628101,0.000628101,0.000628101
128,92.5689,0.47791,0.34265,0.87717,0.96312,0.9977,0.995,0.89381,0.56934,0.33195,0.90415,0.000623074,0.000623074,0.000623074
129,93.2406,0.50586,0.33112,0.84889,0.96312,0.9977,0.995,0.89381,0.56934,0.33195,0.90415,0.000618034,0.000618034,0.000618034
130,93.8967,0.4991,0.32602,0.84153,0.96312,0.9977,0.995,0.89381,0.56934,0.33195,0.90415,0.000612981,0.000612981,0.000612981
131,94.5684,0.52669,0.32658,0.91178,0.96312,0.9977,0.995,0.89381,0.56934,0.33195,0.90415,0.000607916,0.000607916,0.000607916
132,95.2558,0.48149,0.31695,0.86593,0.97496,1,0.995,0.91332,0.50228,0.30826,0.87759,0.00060284,0.00060284,0.00060284
133,95.9275,0.47676,0.33951,0.9255,0.97496,1,0.995,0.91332,0.50228,0.30826,0.87759,0.000597754,0.000597754,0.000597754
134,96.6304,0.46604,0.29763,0.84356,0.97496,1,0.995,0.91332,0.50228,0.30826,0.87759,0.000592657,0.000592657,0.000592657
135,97.2865,0.46087,0.30111,0.85924,0.97496,1,0.995,0.91332,0.50228,0.30826,0.87759,0.000587551,0.000587551,0.000587551
136,98.0676,0.46507,0.30612,0.87235,0.95871,1,0.995,0.89547,0.49471,0.32362,0.87363,0.000582435,0.000582435,0.000582435
137,98.9736,0.46548,0.30721,0.87208,0.95871,1,0.995,0.89547,0.49471,0.32362,0.87363,0.000577311,0.000577311,0.000577311
138,99.6454,0.49998,0.30725,0.8661,0.95871,1,0.995,0.89547,0.49471,0.32362,0.87363,0.000572179,0.000572179,0.000572179
139,100.301,0.48298,0.3092,0.86008,0.95871,1,0.995,0.89547,0.49471,0.32362,0.87363,0.00056704,0.00056704,0.00056704
140,100.989,0.47337,0.30331,0.87363,0.98305,1,0.995,0.89908,0.49571,0.32347,0.87541,0.000561894,0.000561894,0.000561894
141,101.707,0.42562,0.30722,0.87021,0.98305,1,0.995,0.89908,0.49571,0.32347,0.87541,0.000556742,0.000556742,0.000556742
142,102.363,0.47655,0.29285,0.87335,0.98305,1,0.995,0.89908,0.49571,0.32347,0.87541,0.000551584,0.000551584,0.000551584
143,103.02,0.46326,0.35058,0.90127,0.98305,1,0.995,0.89908,0.49571,0.32347,0.87541,0.000546421,0.000546421,0.000546421
144,103.754,0.49374,0.31078,0.87303,0.95399,1,0.995,0.91286,0.51278,0.30234,0.88327,0.000541253,0.000541253,0.000541253
145,104.41,0.45487,0.3111,0.88808,0.95399,1,0.995,0.91286,0.51278,0.30234,0.88327,0.000536081,0.000536081,0.000536081
146,105.175,0.47806,0.32953,0.9259,0.95399,1,0.995,0.91286,0.51278,0.30234,0.88327,0.000530906,0.000530906,0.000530906
