epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.14036,2.81597,5.97472,2.57205,0.24199,0.13889,0.19317,0.08044,2.33882,7.21429,3.37884,0.1,0,0
2,1.8121,2.84488,6.0856,2.69776,0.22894,0.13889,0.18896,0.07928,2.3199,7.20284,3.3431,0.0990199,1.99208e-05,1.99208e-05
3,2.37444,3.0317,6.28061,2.59357,0.22096,0.13889,0.17622,0.07679,2.28915,7.17204,3.2996,0.0980397,3.96832e-05,3.96832e-05
4,2.90559,2.87788,6.09092,2.70438,0.21883,0.13889,0.17256,0.0752,2.27096,7.15907,3.26428,0.0970593,5.92872e-05,5.92872e-05
5,3.45231,2.75622,6.20779,2.77644,0.21779,0.13889,0.16189,0.07093,2.24336,7.14446,3.2233,0.0960787,7.87328e-05,7.87328e-05
6,4.01468,3.00781,6.4401,2.80474,0.43207,0.48527,0.44985,0.22293,2.33683,4.06775,2.12977,0.095098,9.802e-05,9.802e-05
7,4.81136,2.65717,4.10208,2.42523,0.24601,0.5,0.37262,0.26617,1.39037,inf,1.79974,0.0941171,0.000117149,0.000117149
8,5.60805,2.03434,4.27691,2.26651,0.2437,0.5,0.37041,0.26349,1.39135,17.2791,1.79747,0.0931361,0.000136119,0.000136119
9,6.38912,1.87278,3.20472,2.06557,0.85645,0.38199,0.46362,0.34797,1.43745,inf,1.78355,0.0921549,0.000154931,0.000154931
10,7.3264,2.02228,2.76015,2.19691,0.80703,0.45768,0.48371,0.35017,1.31561,inf,1.74464,0.0911736,0.000173585,0.000173585
11,8.12308,1.66673,2.01074,1.91868,0.41852,0.5106,0.4326,0.3234,1.5295,13.6109,1.79583,0.0901921,0.00019208,0.00019208
12,8.95101,1.71113,1.86278,1.87687,0.42953,0.44896,0.47108,0.35867,1.44992,8.32301,1.7396,0.0892104,0.000210417,0.000210417
13,9.73208,1.59744,1.54312,1.86819,0.30162,0.48529,0.48305,0.34288,1.89681,6.81696,1.8596,0.0882286,0.000228595,0.000228595
14,10.4975,1.62145,1.34417,1.84433,0.50295,0.53477,0.63313,0.4601,1.71248,5.10982,1.82237,0.0872466,0.000246615,0.000246615
15,11.2942,1.36344,1.25443,1.80224,0.61211,0.72501,0.80969,0.62329,1.4647,3.56441,1.75143,0.0862645,0.000264477,0.000264477
16,12.0753,1.50009,1.12472,1.80827,0.65638,0.81021,0.74401,0.58802,1.46609,2.54901,1.75996,0.0852822,0.00028218,0.00028218
17,12.8407,1.48425,1.11154,1.81902,0.69099,0.58517,0.71288,0.55291,1.52303,2.03711,1.79294,0.0842997,0.000299725,0.000299725
18,13.6062,1.37805,1.15906,1.84841,0.73012,0.64758,0.73975,0.57336,1.43884,1.76759,1.78243,0.0833171,0.000317111,0.000317111
19,14.4653,1.55622,1.17168,1.77493,0.595,0.66201,0.79728,0.60337,1.4754,1.51721,1.77704,0.0823343,0.000334339,0.000334339
20,15.2308,1.30907,0.97411,1.82601,0.7373,0.62141,0.68647,0.55885,1.45925,1.34888,1.76736,0.0813514,0.000351409,0.000351409
